Starting job 1 at Mo 10. Feb 00:03:44 CET 2025
Configuration: dataset=all_domains_all_samples prompt=markdown_fact_first_few_shot_structured train=markdown_fact_first_few_shot_structured ++train.training_args.per_device_train_batch_size=8 ++train.training_args.gradient_accumulation_steps=2
[2025-02-10 00:04:10,235][root][INFO] - Global seed set to 314
[2025-02-10 00:04:10,237][root][WARNING] - Quantisation will be done on loaded model, THIS IS A QLORA FINE-TUNING RUN
[2025-02-10 00:04:10,237][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : True 
 Perform Validation on epoch end : False
[2025-02-10 00:04:10,237][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-02-10 00:04:10,237][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : fact_first 
 Explanation type : structured 
 Response Format : markdown 
[2025-02-10 00:04:10,237][root][INFO] - Loading dataset from /home/fr/fr_fr/fr_rf1031/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-02-10 00:04:10,274][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-02-10 00:04:10,765][root][INFO] - Indexing complete, sampling of questions set to True
[2025-02-10 00:04:10,766][root][INFO] - Questions selected, dataset contains 1512 questions with 216.0 questions per domain
[2025-02-10 00:04:10,798][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'fact_first', 'response_format': 'markdown', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
[2025-02-10 00:04:12,077][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-02-10 00:04:41,956][root][INFO] - Quantised model meta-llama/Llama-2-7b-hf loaded successfully
[2025-02-10 00:05:15,818][root][INFO] - Model prepared for kbit training
[2025-02-10 00:05:15,818][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=64, target_modules={'q_proj', 'gate_proj', 'k_proj', 'o_proj', 'up_proj', 'down_proj', 'v_proj'}, lora_alpha=32, lora_dropout=0.05, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None, runtime_config=LoraRuntimeConfig(ephemeral_gpu_offload=False))
[2025-02-10 00:05:17,518][root][INFO] - Lora adapter added to model
[2025-02-10 00:05:18,939][accelerate.utils.other][WARNING] - Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
{'loss': 0.151, 'grad_norm': 0.15284161269664764, 'learning_rate': 9.234326448377088e-05, 'epoch': 5.19}
{'loss': 0.1619, 'grad_norm': 0.16051889955997467, 'learning_rate': 9.184228192674667e-05, 'epoch': 5.29}
{'loss': 0.1978, 'grad_norm': 0.1757308840751648, 'learning_rate': 9.13268748317093e-05, 'epoch': 5.4}
{'loss': 0.1921, 'grad_norm': 0.1786847710609436, 'learning_rate': 9.079722087800351e-05, 'epoch': 5.5}
{'loss': 0.185, 'grad_norm': 0.1610867977142334, 'learning_rate': 9.025350265637815e-05, 'epoch': 5.61}
{'loss': 0.1711, 'grad_norm': 0.14945325255393982, 'learning_rate': 8.96959076060405e-05, 'epoch': 5.71}
{'loss': 0.1694, 'grad_norm': 0.1673813760280609, 'learning_rate': 8.912462795003932e-05, 'epoch': 5.82}
{'loss': 0.1668, 'grad_norm': 0.15472273528575897, 'learning_rate': 8.853986062899868e-05, 'epoch': 5.93}
{'loss': 0.1625, 'grad_norm': 0.14886356890201569, 'learning_rate': 8.794180723322536e-05, 'epoch': 6.03}
{'loss': 0.1323, 'grad_norm': 0.16422536969184875, 'learning_rate': 8.733067393321355e-05, 'epoch': 6.14}
{'loss': 0.1254, 'grad_norm': 0.17279911041259766, 'learning_rate': 8.670667140857032e-05, 'epoch': 6.24}
{'loss': 0.1261, 'grad_norm': 0.16660822927951813, 'learning_rate': 8.607001477538696e-05, 'epoch': 6.35}
{'loss': 0.1199, 'grad_norm': 0.17876236140727997, 'learning_rate': 8.542092351208058e-05, 'epoch': 6.46}
{'loss': 0.1269, 'grad_norm': 0.19083650410175323, 'learning_rate': 8.475962138373213e-05, 'epoch': 6.56}
{'loss': 0.1309, 'grad_norm': 0.16206227242946625, 'learning_rate': 8.408633636494643e-05, 'epoch': 6.67}
{'loss': 0.1204, 'grad_norm': 0.19473202526569366, 'learning_rate': 8.340130056126125e-05, 'epoch': 6.77}
{'loss': 0.1267, 'grad_norm': 0.18996182084083557, 'learning_rate': 8.270475012913211e-05, 'epoch': 6.88}
{'loss': 0.1251, 'grad_norm': 0.1673646718263626, 'learning_rate': 8.199692519452069e-05, 'epoch': 6.98}
{'loss': 0.1023, 'grad_norm': 0.16678562760353088, 'learning_rate': 8.127806977011475e-05, 'epoch': 7.09}
{'loss': 0.0896, 'grad_norm': 0.17001011967658997, 'learning_rate': 8.054843167120827e-05, 'epoch': 7.2}
{'loss': 0.0855, 'grad_norm': 0.15871749818325043, 'learning_rate': 7.980826243027051e-05, 'epoch': 7.3}
{'loss': 0.087, 'grad_norm': 0.17405016720294952, 'learning_rate': 7.905781721023384e-05, 'epoch': 7.41}
{'loss': 0.0878, 'grad_norm': 0.19309571385383606, 'learning_rate': 7.829735471652978e-05, 'epoch': 7.51}
{'loss': 0.0934, 'grad_norm': 0.18663902580738068, 'learning_rate': 7.752713710790404e-05, 'epoch': 7.62}
{'loss': 0.094, 'grad_norm': 0.17234858870506287, 'learning_rate': 7.674742990604101e-05, 'epoch': 7.72}
{'loss': 0.0965, 'grad_norm': 0.17093464732170105, 'learning_rate': 7.595850190402876e-05, 'epoch': 7.83}
{'loss': 0.0899, 'grad_norm': 0.15917439758777618, 'learning_rate': 7.516062507369654e-05, 'epoch': 7.94}
{'loss': 0.0809, 'grad_norm': 0.19172772765159607, 'learning_rate': 7.435407447185623e-05, 'epoch': 8.04}
{'loss': 0.059, 'grad_norm': 0.2080674171447754, 'learning_rate': 7.353912814548042e-05, 'epoch': 8.15}
{'loss': 0.0571, 'grad_norm': 0.15437722206115723, 'learning_rate': 7.27160670358496e-05, 'epoch': 8.25}
{'loss': 0.0635, 'grad_norm': 0.18485431373119354, 'learning_rate': 7.18851748817016e-05, 'epoch': 8.36}
{'loss': 0.0597, 'grad_norm': 0.14789579808712006, 'learning_rate': 7.104673812141675e-05, 'epoch': 8.47}
{'loss': 0.0591, 'grad_norm': 0.20365342497825623, 'learning_rate': 7.020104579427213e-05, 'epoch': 8.57}
{'loss': 0.0616, 'grad_norm': 0.17326518893241882, 'learning_rate': 6.934838944079943e-05, 'epoch': 8.68}
{'loss': 0.0646, 'grad_norm': 0.21068967878818512, 'learning_rate': 6.848906300228046e-05, 'epoch': 8.78}
{'loss': 0.0649, 'grad_norm': 0.16086168587207794, 'learning_rate': 6.762336271941498e-05, 'epoch': 8.89}
{'loss': 0.0658, 'grad_norm': 0.20468823611736298, 'learning_rate': 6.675158703019594e-05, 'epoch': 8.99}
{'loss': 0.0411, 'grad_norm': 0.1335805505514145, 'learning_rate': 6.587403646702714e-05, 'epoch': 9.1}
{'loss': 0.0382, 'grad_norm': 0.15454380214214325, 'learning_rate': 6.49910135531189e-05, 'epoch': 9.21}
{'loss': 0.0419, 'grad_norm': 0.16434092819690704, 'learning_rate': 6.410282269819756e-05, 'epoch': 9.31}
{'loss': 0.0417, 'grad_norm': 0.159988671541214, 'learning_rate': 6.320977009356431e-05, 'epoch': 9.42}
{'loss': 0.0379, 'grad_norm': 0.16944779455661774, 'learning_rate': 6.23121636065402e-05, 'epoch': 9.52}
{'loss': 0.0433, 'grad_norm': 0.1678091287612915, 'learning_rate': 6.141031267433316e-05, 'epoch': 9.63}
{'loss': 0.0432, 'grad_norm': 0.18269051611423492, 'learning_rate': 6.0504528197363894e-05, 'epoch': 9.74}
{'loss': 0.0405, 'grad_norm': 0.1686418652534485, 'learning_rate': 5.959512243208732e-05, 'epoch': 9.84}
{'loss': 0.0435, 'grad_norm': 0.1620381474494934, 'learning_rate': 5.868240888334653e-05, 'epoch': 9.95}
{'loss': 0.0353, 'grad_norm': 0.15432554483413696, 'learning_rate': 5.776670219629643e-05, 'epoch': 10.05}
{'loss': 0.0257, 'grad_norm': 0.13552159070968628, 'learning_rate': 5.684831804793427e-05, 'epoch': 10.16}
{'loss': 0.0279, 'grad_norm': 0.1516021490097046, 'learning_rate': 5.5927573038274406e-05, 'epoch': 10.26}
{'loss': 0.0251, 'grad_norm': 0.12092962116003036, 'learning_rate': 5.5004784581204927e-05, 'epoch': 10.37}
{'loss': 0.0276, 'grad_norm': 0.1418440192937851, 'learning_rate': 5.4080270795063616e-05, 'epoch': 10.48}
{'loss': 0.0285, 'grad_norm': 0.15984998643398285, 'learning_rate': 5.315435039297124e-05, 'epoch': 10.58}
{'loss': 0.0279, 'grad_norm': 0.1378408670425415, 'learning_rate': 5.2227342572959623e-05, 'epoch': 10.69}
{'loss': 0.0259, 'grad_norm': 0.1571076512336731, 'learning_rate': 5.129956690793255e-05, 'epoch': 10.79}
{'loss': 0.0282, 'grad_norm': 0.13941869139671326, 'learning_rate': 5.0371343235497624e-05, 'epoch': 10.9}
{'loss': 0.0275, 'grad_norm': 0.1579579859972, 'learning_rate': 4.944299154770673e-05, 'epoch': 11.01}
{'loss': 0.0177, 'grad_norm': 0.08249372243881226, 'learning_rate': 4.8514831880743175e-05, 'epoch': 11.11}
{'loss': 0.0179, 'grad_norm': 0.09149491786956787, 'learning_rate': 4.758718420459383e-05, 'epoch': 11.22}
{'loss': 0.0176, 'grad_norm': 0.11512432992458344, 'learning_rate': 4.666036831274392e-05, 'epoch': 11.32}
{'loss': 0.0174, 'grad_norm': 0.12723881006240845, 'learning_rate': 4.573470371193277e-05, 'epoch': 11.43}
{'loss': 0.0177, 'grad_norm': 0.09184184670448303, 'learning_rate': 4.481050951200824e-05, 'epoch': 11.53}
{'loss': 0.0188, 'grad_norm': 0.11077545583248138, 'learning_rate': 4.388810431591829e-05, 'epoch': 11.64}
{'loss': 0.0196, 'grad_norm': 0.09589257091283798, 'learning_rate': 4.296780610987685e-05, 'epoch': 11.75}
{'loss': 0.0191, 'grad_norm': 0.12265076488256454, 'learning_rate': 4.204993215374273e-05, 'epoch': 11.85}
{'loss': 0.0196, 'grad_norm': 0.10697567462921143, 'learning_rate': 4.1134798871648733e-05, 'epoch': 11.96}
{'loss': 0.0158, 'grad_norm': 0.05337952449917793, 'learning_rate': 4.0222721742918776e-05, 'epoch': 12.06}
{'loss': 0.0132, 'grad_norm': 0.12271673232316971, 'learning_rate': 3.9314015193310955e-05, 'epoch': 12.17}
{'loss': 0.0138, 'grad_norm': 0.11193141341209412, 'learning_rate': 3.840899248662358e-05, 'epoch': 12.28}
{'loss': 0.014, 'grad_norm': 0.07223685085773468, 'learning_rate': 3.7507965616702014e-05, 'epoch': 12.38}
{'loss': 0.0136, 'grad_norm': 0.08038362115621567, 'learning_rate': 3.661124519988304e-05, 'epoch': 12.49}
{'loss': 0.014, 'grad_norm': 0.07685299217700958, 'learning_rate': 3.571914036791435e-05, 'epoch': 12.59}
{'loss': 0.0141, 'grad_norm': 0.09852351248264313, 'learning_rate': 3.4831958661385714e-05, 'epoch': 12.7}
{'loss': 0.0144, 'grad_norm': 0.07703404873609543, 'learning_rate': 3.395000592370864e-05, 'epoch': 12.8}
{'loss': 0.0142, 'grad_norm': 0.08707821369171143, 'learning_rate': 3.307358619568123e-05, 'epoch': 12.91}
{'loss': 0.0149, 'grad_norm': 0.04408545419573784, 'learning_rate': 3.220300161067432e-05, 'epoch': 13.02}
{'loss': 0.0114, 'grad_norm': 0.0686887577176094, 'learning_rate': 3.1338552290475266e-05, 'epoch': 13.12}
{'loss': 0.0112, 'grad_norm': 0.07179953902959824, 'learning_rate': 3.0480536241825263e-05, 'epoch': 13.23}
{'loss': 0.0114, 'grad_norm': 0.05775616690516472, 'learning_rate': 2.9629249253685597e-05, 'epoch': 13.33}
{'loss': 0.0114, 'grad_norm': 0.059059128165245056, 'learning_rate': 2.8784984795268642e-05, 'epoch': 13.44}
{'loss': 0.0117, 'grad_norm': 0.06295736879110336, 'learning_rate': 2.7948033914868415e-05, 'epoch': 13.54}
{'loss': 0.0122, 'grad_norm': 0.06854410469532013, 'learning_rate': 2.7118685139525866e-05, 'epoch': 13.65}
{'loss': 0.0115, 'grad_norm': 0.062174443155527115, 'learning_rate': 2.629722437556312e-05, 'epoch': 13.76}
{'loss': 0.0118, 'grad_norm': 0.05404143035411835, 'learning_rate': 2.5483934810021397e-05, 'epoch': 13.86}
{'loss': 0.0126, 'grad_norm': 0.07712964713573456, 'learning_rate': 2.46790968130362e-05, 'epoch': 13.97}
{'loss': 0.0112, 'grad_norm': 0.038880035281181335, 'learning_rate': 2.3882987841183655e-05, 'epoch': 14.07}
{'loss': 0.0103, 'grad_norm': 0.043943893164396286, 'learning_rate': 2.3095882341831372e-05, 'epoch': 14.18}
{'loss': 0.0102, 'grad_norm': 0.051687344908714294, 'learning_rate': 2.2318051658526366e-05, 'epoch': 14.29}
{'loss': 0.0104, 'grad_norm': 0.04530167579650879, 'learning_rate': 2.1549763937453444e-05, 'epoch': 14.39}
{'loss': 0.0106, 'grad_norm': 0.04237174615263939, 'learning_rate': 2.0791284034995297e-05, 'epoch': 14.5}
{'loss': 0.0108, 'grad_norm': 0.054354920983314514, 'learning_rate': 2.004287342642721e-05, 'epoch': 14.6}
{'loss': 0.0108, 'grad_norm': 0.04936017468571663, 'learning_rate': 1.930479011577711e-05, 'epoch': 14.71}
{'loss': 0.0107, 'grad_norm': 0.04903149604797363, 'learning_rate': 1.8577288546882167e-05, 'epoch': 14.81}
{'loss': 0.0106, 'grad_norm': 0.04394460469484329, 'learning_rate': 1.7860619515673033e-05, 'epoch': 14.92}
{'loss': 0.0111, 'grad_norm': 0.03715852275490761, 'learning_rate': 1.7155030083715363e-05, 'epoch': 15.03}
{'loss': 0.0094, 'grad_norm': 0.03570602461695671, 'learning_rate': 1.646076349303884e-05, 'epoch': 15.13}
{'loss': 0.0096, 'grad_norm': 0.038597822189331055, 'learning_rate': 1.577805908228293e-05, 'epoch': 15.24}
{'loss': 0.0098, 'grad_norm': 0.043152641505002975, 'learning_rate': 1.510715220418823e-05, 'epoch': 15.34}
{'loss': 0.0097, 'grad_norm': 0.037177495658397675, 'learning_rate': 1.4448274144461965e-05, 'epoch': 15.45}
{'loss': 0.0098, 'grad_norm': 0.0507979691028595, 'learning_rate': 1.3801652042045415e-05, 'epoch': 15.56}
{'loss': 0.0099, 'grad_norm': 0.04744821414351463, 'learning_rate': 1.3167508810811058e-05, 'epoch': 15.66}
{'loss': 0.0099, 'grad_norm': 0.048876725137233734, 'learning_rate': 1.2546063062716068e-05, 'epoch': 15.77}
{'loss': 0.0101, 'grad_norm': 0.050013910979032516, 'learning_rate': 1.1937529032438904e-05, 'epoch': 15.87}
{'loss': 0.0103, 'grad_norm': 0.0506698377430439, 'learning_rate': 1.1342116503525058e-05, 'epoch': 15.98}
{'loss': 0.01, 'grad_norm': 0.04006636142730713, 'learning_rate': 1.0760030736066951e-05, 'epoch': 16.08}
{'loss': 0.0092, 'grad_norm': 0.035116225481033325, 'learning_rate': 1.0191472395943553e-05, 'epoch': 16.19}
{'loss': 0.0093, 'grad_norm': 0.0419880747795105, 'learning_rate': 9.63663748564353e-06, 'epoch': 16.3}
{'loss': 0.0094, 'grad_norm': 0.047322601079940796, 'learning_rate': 9.095717276696214e-06, 'epoch': 16.4}
{'loss': 0.0093, 'grad_norm': 0.037298593670129776, 'learning_rate': 8.568898243733398e-06, 'epoch': 16.51}
{'loss': 0.0095, 'grad_norm': 0.04024001955986023, 'learning_rate': 8.056362000204847e-06, 'epoch': 16.61}
{'loss': 0.0096, 'grad_norm': 0.04876098781824112, 'learning_rate': 7.558285235769646e-06, 'epoch': 16.72}
{'loss': 0.0097, 'grad_norm': 0.04835578426718712, 'learning_rate': 7.074839655384835e-06, 'epoch': 16.83}
{'loss': 0.0096, 'grad_norm': 0.03692985698580742, 'learning_rate': 6.6061919201126646e-06, 'epoch': 16.93}
{'loss': 0.0097, 'grad_norm': 0.037567295134067535, 'learning_rate': 6.152503589666425e-06, 'epoch': 17.04}
{'loss': 0.009, 'grad_norm': 0.033393558114767075, 'learning_rate': 5.713931066715078e-06, 'epoch': 17.14}
{'loss': 0.0089, 'grad_norm': 0.03775404393672943, 'learning_rate': 5.29062554296561e-06, 'epoch': 17.25}
{'loss': 0.009, 'grad_norm': 0.04634755477309227, 'learning_rate': 4.882732947041818e-06, 'epoch': 17.35}
{'loss': 0.0093, 'grad_norm': 0.042284876108169556, 'learning_rate': 4.490393894177508e-06, 'epoch': 17.46}
{'loss': 0.009, 'grad_norm': 0.03829989954829216, 'learning_rate': 4.113743637741296e-06, 'epoch': 17.57}
{'loss': 0.0093, 'grad_norm': 0.047893770039081573, 'learning_rate': 3.7529120226100055e-06, 'epoch': 17.67}
{'loss': 0.0092, 'grad_norm': 0.04657752439379692, 'learning_rate': 3.408023440406355e-06, 'epoch': 17.78}
{'loss': 0.0091, 'grad_norm': 0.047256458550691605, 'learning_rate': 3.079196786616839e-06, 'epoch': 17.88}
{'loss': 0.0093, 'grad_norm': 0.0410071425139904, 'learning_rate': 2.7665454196040664e-06, 'epoch': 17.99}
{'loss': 0.0095, 'grad_norm': 0.03920174017548561, 'learning_rate': 2.470177121528089e-06, 'epoch': 18.1}
{'loss': 0.0089, 'grad_norm': 0.038923971354961395, 'learning_rate': 2.1901940611900706e-06, 'epoch': 18.2}
{'loss': 0.0089, 'grad_norm': 0.03679915890097618, 'learning_rate': 1.926692758810955e-06, 'epoch': 18.31}
{'loss': 0.0089, 'grad_norm': 0.0398629866540432, 'learning_rate': 1.679764052757532e-06, 'epoch': 18.41}
{'loss': 0.0089, 'grad_norm': 0.044510774314403534, 'learning_rate': 1.449493068227159e-06, 'epoch': 18.52}
{'loss': 0.0089, 'grad_norm': 0.04603848606348038, 'learning_rate': 1.2359591879020526e-06, 'epoch': 18.62}
{'loss': 0.0089, 'grad_norm': 0.04315490275621414, 'learning_rate': 1.03923602458324e-06, 'epoch': 18.73}
{'loss': 0.0091, 'grad_norm': 0.03117535449564457, 'learning_rate': 8.593913958135691e-07, 'epoch': 18.84}
{'loss': 0.0089, 'grad_norm': 0.04317518696188927, 'learning_rate': 6.964873004985717e-07, 'epoch': 18.94}
{'loss': 0.0094, 'grad_norm': 0.039451271295547485, 'learning_rate': 5.505798975331933e-07, 'epoch': 19.05}
